sleeper_id,name,position,nfl_team,age,fc_offense_rank,dhq_offense_rank,overall_rank_delta,fc_position_rank,dhq_position_rank,position_rank_delta,fc_value,dhq_value,value_delta,value_delta_pct,fc_trend_30d,dhq_source,ppg,starter_seasons,league_starter_pool,replacement_line_ppg,age_curve_phase,fc_weight
5947,Jakobi Meyers,WR,JAX,29.5,139,140,1,56,56,0,1667,1445,-222,-13.3,20,DHQ_FC_BLEND,3.6125,0,,,,25
5967,Tony Pollard,RB,TEN,29,140,174,34,36,47,11,1642,1197,-445,-27.1,245,DHQ_FC_BLEND,2.9925,0,,,,25
4037,Chris Godwin,WR,TB,30.2,141,138,-3,57,54,-3,1638,1457,-181,-11.1,-17,DHQ_FC_BLEND,3.6425,0,,,,25
5045,Courtland Sutton,WR,DEN,30.6,142,130,-12,58,51,-7,1633,1548,-85,-5.2,-174,DHQ_FC_BLEND,3.87,1,,,,25
11583,Jonathon Brooks,RB,CAR,22.8,143,161,18,37,41,4,1627,1262,-365,-22.4,91,DHQ_FC_BLEND,3.155,0,,,,25
8121,Romeo Doubs,WR,NE,26.1,144,120,-24,59,48,-11,1626,1662,36,2.2,-347,DHQ_FC_BLEND,4.155,1,,,,25
6768,Tua Tagovailoa,QB,ATL,28.2,145,131,-14,33,30,-3,1615,1536,-79,-4.9,-139,DHQ_FC_BLEND,3.84,1,,,,25
13337,Emmett Johnson,RB,KC,22.6,147,113,-34,38,30,-8,1589,1710,121,7.6,-378,FC_ROOKIE,4.275,0,,,,25
7611,Rhamondre Stevenson,RB,NE,28.2,148,155,7,39,40,1,1571,1315,-256,-16.3,98,DHQ_FC_BLEND,3.2875,0,,,,25
6806,J.K. Dobbins,RB,DEN,27.4,149,147,-2,40,39,-1,1555,1400,-155,-10,-140,DHQ_FC_BLEND,3.5,0,,,,25
5012,Mark Andrews,TE,BAL,30.7,150,159,9,17,22,5,1555,1275,-280,-18,45,DHQ_FC_BLEND,3.1875,0,,,,25
5844,T.J. Hockenson,TE,MIN,28.8,151,156,5,18,21,3,1550,1303,-247,-15.9,-35,DHQ_FC_BLEND,3.2575,0,,,,25
13268,Elijah Sarratt,WR,BAL,22.9,152,136,-16,61,53,-8,1536,1478,-58,-3.8,-200,FC_ROOKIE,3.695,0,,,,25
8210,Chig Okonkwo,TE,WAS,26.7,153,149,-4,19,17,-2,1536,1371,-165,-10.7,-84,DHQ_FC_BLEND,3.4275,0,,,,25
13320,Zachariah Branch,WR,ATL,22.1,154,146,-8,62,60,-2,1526,1405,-121,-7.9,-139,FC_ROOKIE,3.5125,0,,,,25
13353,Chris Brazzell,WR,CAR,22.6,155,150,-5,63,61,-2,1503,1363,-140,-9.3,-174,FC_ROOKIE,3.4075,0,,,,25
1466,Travis Kelce,TE,KC,36.6,156,151,-5,20,18,-2,1498,1349,-149,-9.9,2,DHQ_FC_BLEND,3.3725,0,,,,25
8136,Rachaad White,RB,WAS,27.3,157,164,7,41,43,2,1495,1235,-260,-17.4,92,DHQ_FC_BLEND,3.0875,0,,,,25
7567,Kenneth Gainwell,RB,TB,27.1,158,162,4,42,42,0,1484,1254,-230,-15.5,13,DHQ_FC_BLEND,3.135,0,,,,25
11603,AJ Barner,TE,SEA,24,159,153,-6,21,19,-2,1481,1326,-155,-10.5,-23,DHQ_FC_BLEND,3.315,0,,,,25
13285,Malachi Fields,WR,NYG,22.7,160,181,21,64,71,7,1477,1144,-333,-22.5,37,FC_ROOKIE,2.86,0,,,,25
1373,Geno Smith,QB,NYJ,35.6,161,167,6,34,34,0,1467,1222,-245,-16.7,64,DHQ_FC_BLEND,3.055,0,,,,25
11646,Jalen Coker,WR,CAR,24.5,162,163,1,65,66,1,1464,1246,-218,-14.9,-68,DHQ_FC_BLEND,3.115,0,,,,25
12533,Jacory Croskey-Merritt,RB,WAS,25.1,163,178,15,43,49,6,1458,1167,-291,-20,80,DHQ_FC_BLEND,2.9175,0,,,,25
12474,Woody Marks,RB,HOU,25.3,164,172,8,44,45,1,1448,1198,-250,-17.3,148,DHQ_FC_BLEND,2.995,0,,,,25
13405,Kaytron Allen,RB,WAS,23.3,165,267,102,45,76,31,1441,525,-916,-63.6,220,FC_ROOKIE,1.3125,0,,,,25
8134,Khalil Shakir,WR,BUF,26.3,166,160,-6,66,65,-1,1441,1274,-167,-11.6,-22,DHQ_FC_BLEND,3.185,0,,,,25
11618,Jalen McMillan,WR,TB,24.4,167,142,-25,67,57,-10,1422,1425,3,0.2,-219,DHQ_FC_BLEND,3.5625,0,,,,25
12502,Gunnar Helm,TE,TEN,23.7,168,165,-3,22,23,1,1414,1230,-184,-13,23,DHQ_FC_BLEND,3.075,0,,,,25
3257,Jacoby Brissett,QB,ARI,33.4,169,148,-21,35,33,-2,1413,1384,-29,-2.1,-237,DHQ_FC_BLEND,3.46,0,,,,25
8132,Tyler Allgeier,RB,ARI,26.1,170,123,-47,46,31,-15,1407,1616,209,14.9,-430,DHQ_FC_BLEND,4.04,1,,,,25
